H_mean,S_mean,V_mean,H_std,S_std,V_std,Gray_mean,Gray_std,Edge_density,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,label
0.224,0.487,0.355,0.083,0.189,0.141,0.303,0.123,0.046,0.054,0.07,0.052,0.089,0.126,0.101,0.075,0.082,0.35,belalang
0.253,0.608,0.426,0.02,0.138,0.146,0.361,0.138,0.125,0.086,0.082,0.052,0.084,0.161,0.119,0.067,0.085,0.265,belalang
0.204,0.383,0.387,0.089,0.157,0.176,0.343,0.16,0.084,0.047,0.087,0.038,0.081,0.18,0.103,0.061,0.084,0.318,belalang
0.255,0.548,0.409,0.015,0.065,0.05,0.349,0.051,0.032,0.069,0.086,0.063,0.095,0.116,0.109,0.082,0.095,0.284,belalang
0.269,0.451,0.507,0.04,0.096,0.072,0.438,0.068,0.017,0.04,0.081,0.063,0.129,0.167,0.14,0.089,0.086,0.206,belalang
0.236,0.541,0.554,0.072,0.243,0.18,0.492,0.194,0.171,0.08,0.095,0.052,0.09,0.149,0.108,0.062,0.099,0.265,tanpaserangga
0.255,0.548,0.409,0.015,0.065,0.05,0.349,0.051,0.032,0.069,0.086,0.063,0.095,0.116,0.109,0.082,0.095,0.284,belalang
0.238,0.329,0.777,0.182,0.295,0.212,0.73,0.248,0.099,0.056,0.071,0.031,0.086,0.106,0.133,0.046,0.101,0.371,tanpaserangga
0.228,0.358,0.418,0.118,0.201,0.254,0.379,0.247,0.062,0.035,0.071,0.044,0.098,0.174,0.127,0.066,0.075,0.309,belalang
0.212,0.421,0.384,0.086,0.194,0.202,0.343,0.19,0.129,0.06,0.078,0.043,0.08,0.168,0.11,0.062,0.074,0.325,belalang
0.237,0.525,0.652,0.027,0.141,0.119,0.573,0.12,0.105,0.075,0.075,0.057,0.101,0.157,0.123,0.074,0.088,0.249,belalang
0.237,0.525,0.652,0.027,0.141,0.119,0.573,0.12,0.105,0.075,0.074,0.057,0.101,0.159,0.123,0.074,0.086,0.251,belalang
0.238,0.188,0.55,0.125,0.239,0.279,0.529,0.288,0.07,0.078,0.078,0.043,0.071,0.076,0.085,0.059,0.093,0.417,tanpaserangga
0.241,0.447,0.403,0.031,0.08,0.09,0.358,0.085,0.09,0.069,0.104,0.051,0.088,0.141,0.109,0.07,0.094,0.274,belalang
0.229,0.567,0.615,0.033,0.151,0.115,0.539,0.117,0.128,0.095,0.098,0.055,0.078,0.131,0.092,0.073,0.092,0.285,belalang
0.2,0.155,0.89,0.214,0.258,0.179,0.871,0.208,0.058,0.045,0.063,0.012,0.054,0.06,0.126,0.031,0.074,0.536,tanpaserangga
0.221,0.467,0.619,0.122,0.26,0.217,0.571,0.233,0.143,0.087,0.085,0.043,0.078,0.121,0.109,0.064,0.092,0.322,belalang
0.242,0.395,0.451,0.091,0.16,0.175,0.389,0.152,0.027,0.03,0.059,0.054,0.124,0.18,0.128,0.076,0.073,0.277,belalang
0.244,0.304,0.7,0.181,0.294,0.262,0.667,0.287,0.126,0.079,0.077,0.029,0.07,0.104,0.124,0.05,0.098,0.37,tanpaserangga
0.374,0.553,0.444,0.114,0.368,0.094,0.377,0.104,0.063,0.066,0.069,0.053,0.107,0.142,0.148,0.077,0.093,0.244,tanpaserangga
0.245,0.863,0.473,0.019,0.127,0.135,0.373,0.121,0.111,0.081,0.089,0.049,0.09,0.165,0.111,0.059,0.091,0.264,belalang
0.186,0.429,0.522,0.12,0.283,0.279,0.478,0.277,0.138,0.075,0.074,0.041,0.073,0.11,0.099,0.054,0.08,0.394,belalang
0.237,0.525,0.652,0.027,0.141,0.119,0.573,0.12,0.105,0.075,0.074,0.057,0.101,0.159,0.123,0.074,0.086,0.251,belalang
0.232,0.539,0.375,0.036,0.143,0.126,0.328,0.122,0.069,0.082,0.096,0.048,0.086,0.144,0.104,0.067,0.095,0.279,belalang
0.279,0.2,0.612,0.242,0.233,0.294,0.587,0.302,0.105,0.06,0.064,0.038,0.091,0.118,0.12,0.073,0.087,0.349,tanpaserangga
0.16,0.152,0.807,0.197,0.205,0.2,0.78,0.227,0.09,0.052,0.057,0.039,0.073,0.082,0.107,0.048,0.069,0.473,tanpaserangga
0.153,0.198,0.776,0.106,0.221,0.238,0.749,0.261,0.102,0.051,0.052,0.031,0.068,0.086,0.124,0.052,0.07,0.466,tanpaserangga
0.324,0.528,0.401,0.155,0.392,0.164,0.337,0.154,0.075,0.064,0.066,0.045,0.098,0.12,0.125,0.066,0.088,0.329,tanpaserangga
0.235,0.461,0.456,0.069,0.167,0.185,0.412,0.189,0.131,0.069,0.089,0.047,0.088,0.166,0.122,0.07,0.084,0.265,belalang
0.244,0.615,0.402,0.036,0.162,0.138,0.342,0.127,0.122,0.083,0.083,0.057,0.087,0.163,0.112,0.065,0.085,0.266,belalang
0.244,0.571,0.466,0.015,0.099,0.097,0.401,0.093,0.021,0.073,0.091,0.068,0.1,0.124,0.102,0.083,0.098,0.261,belalang
0.199,0.414,0.445,0.089,0.172,0.216,0.392,0.197,0.115,0.06,0.075,0.051,0.092,0.155,0.105,0.064,0.079,0.32,belalang
0.271,0.203,0.605,0.268,0.241,0.288,0.58,0.296,0.1,0.066,0.064,0.038,0.089,0.103,0.116,0.067,0.088,0.368,tanpaserangga
0.292,0.741,0.441,0.076,0.33,0.145,0.354,0.132,0.102,0.082,0.086,0.05,0.089,0.125,0.115,0.068,0.096,0.289,tanpaserangga
0.236,0.564,0.366,0.029,0.134,0.123,0.317,0.115,0.069,0.083,0.101,0.051,0.085,0.138,0.1,0.066,0.098,0.278,belalang
0.247,0.445,0.452,0.067,0.158,0.191,0.405,0.187,0.079,0.054,0.08,0.054,0.108,0.184,0.138,0.078,0.084,0.22,belalang
0.185,0.465,0.518,0.109,0.266,0.258,0.468,0.247,0.167,0.074,0.083,0.043,0.082,0.131,0.098,0.056,0.081,0.352,belalang
0.241,0.447,0.403,0.031,0.08,0.09,0.358,0.085,0.09,0.069,0.104,0.051,0.088,0.141,0.109,0.07,0.094,0.274,belalang
0.254,0.453,0.442,0.068,0.156,0.187,0.397,0.183,0.082,0.062,0.091,0.053,0.101,0.16,0.125,0.073,0.094,0.242,belalang
0.258,0.545,0.4,0.016,0.063,0.05,0.34,0.051,0.029,0.048,0.074,0.061,0.111,0.149,0.139,0.095,0.086,0.238,belalang
0.242,0.351,0.615,0.023,0.193,0.187,0.568,0.204,0.119,0.097,0.092,0.05,0.077,0.096,0.097,0.073,0.099,0.319,tanpaserangga
0.303,0.521,0.597,0.035,0.202,0.137,0.5,0.139,0.123,0.052,0.08,0.056,0.117,0.197,0.14,0.075,0.08,0.201,tanpaserangga
0.185,0.559,0.466,0.077,0.278,0.22,0.41,0.207,0.17,0.075,0.074,0.051,0.084,0.146,0.105,0.063,0.073,0.329,belalang
0.226,0.124,0.632,0.188,0.192,0.283,0.618,0.291,0.076,0.067,0.069,0.044,0.079,0.108,0.105,0.065,0.087,0.376,tanpaserangga
0.254,0.705,0.401,0.11,0.373,0.19,0.317,0.161,0.109,0.079,0.079,0.044,0.08,0.109,0.099,0.058,0.087,0.366,tanpaserangga
0.205,0.403,0.331,0.09,0.159,0.152,0.291,0.136,0.081,0.058,0.082,0.041,0.08,0.154,0.104,0.058,0.081,0.342,belalang
0.244,0.304,0.7,0.181,0.293,0.262,0.667,0.287,0.126,0.079,0.078,0.029,0.071,0.105,0.123,0.049,0.099,0.368,tanpaserangga
0.242,0.375,0.453,0.053,0.202,0.22,0.419,0.229,0.086,0.058,0.076,0.049,0.102,0.181,0.142,0.076,0.092,0.225,belalang
0.374,0.553,0.444,0.114,0.368,0.094,0.377,0.104,0.062,0.066,0.068,0.053,0.108,0.142,0.149,0.078,0.093,0.244,tanpaserangga
0.177,0.195,0.632,0.142,0.224,0.206,0.611,0.223,0.053,0.079,0.082,0.049,0.085,0.096,0.105,0.073,0.101,0.33,tanpaserangga
0.222,0.547,0.452,0.073,0.193,0.175,0.383,0.151,0.102,0.042,0.066,0.041,0.09,0.238,0.124,0.07,0.069,0.259,belalang
0.243,0.5,0.459,0.035,0.111,0.132,0.401,0.121,0.089,0.07,0.095,0.057,0.089,0.167,0.107,0.072,0.096,0.246,belalang
0.228,0.471,0.499,0.052,0.091,0.16,0.44,0.152,0.117,0.075,0.083,0.063,0.096,0.161,0.115,0.075,0.085,0.248,belalang
0.223,0.826,0.419,0.077,0.295,0.175,0.322,0.143,0.117,0.066,0.077,0.043,0.081,0.172,0.102,0.059,0.08,0.321,belalang
0.211,0.631,0.543,0.042,0.202,0.149,0.477,0.153,0.185,0.096,0.088,0.061,0.082,0.142,0.107,0.062,0.086,0.276,belalang
0.3,0.213,0.648,0.288,0.249,0.207,0.624,0.227,0.085,0.074,0.073,0.05,0.099,0.122,0.127,0.078,0.101,0.276,tanpaserangga
0.374,0.553,0.444,0.114,0.368,0.094,0.377,0.104,0.063,0.066,0.069,0.053,0.107,0.142,0.148,0.077,0.093,0.244,tanpaserangga
0.227,0.419,0.655,0.053,0.077,0.187,0.585,0.178,0.138,0.075,0.086,0.062,0.099,0.16,0.113,0.073,0.088,0.244,belalang
0.162,0.167,0.557,0.103,0.219,0.272,0.54,0.28,0.064,0.07,0.072,0.044,0.079,0.087,0.092,0.068,0.092,0.396,tanpaserangga
0.255,0.488,0.55,0.015,0.055,0.06,0.478,0.061,0.039,0.073,0.085,0.065,0.098,0.117,0.108,0.079,0.094,0.28,belalang
0.245,0.863,0.473,0.019,0.127,0.135,0.373,0.121,0.111,0.082,0.089,0.049,0.09,0.165,0.11,0.06,0.091,0.264,belalang
0.246,0.606,0.505,0.016,0.082,0.092,0.428,0.084,0.111,0.059,0.078,0.051,0.096,0.213,0.129,0.077,0.077,0.22,belalang
0.205,0.383,0.39,0.089,0.157,0.176,0.345,0.16,0.085,0.049,0.079,0.041,0.086,0.177,0.103,0.062,0.08,0.322,belalang
0.258,0.553,0.452,0.019,0.09,0.138,0.386,0.126,0.061,0.04,0.068,0.056,0.118,0.22,0.162,0.091,0.07,0.174,belalang
0.176,0.245,0.476,0.128,0.25,0.261,0.453,0.27,0.073,0.089,0.085,0.045,0.059,0.065,0.074,0.056,0.095,0.431,tanpaserangga
0.207,0.412,0.389,0.097,0.215,0.223,0.35,0.217,0.128,0.057,0.077,0.039,0.078,0.161,0.115,0.064,0.073,0.337,belalang
0.229,0.567,0.615,0.033,0.151,0.115,0.539,0.117,0.127,0.095,0.098,0.055,0.078,0.131,0.092,0.073,0.092,0.285,belalang
0.213,0.324,0.676,0.172,0.296,0.303,0.631,0.315,0.107,0.053,0.07,0.029,0.083,0.106,0.113,0.047,0.086,0.412,tanpaserangga
0.228,0.471,0.499,0.052,0.091,0.16,0.44,0.152,0.117,0.075,0.083,0.063,0.096,0.161,0.115,0.075,0.085,0.248,belalang
